name,typeString,addressLineOne,addressLineTwo,city,state,zipFive,zipFour,county,isPoBoxLocation,phone,drivingDirectionsLink,grantNumber,delegateNumber,programName,programAddressLineOne,programAddressLineTwo,programCity,programState,programZipFive,programZipFour,programCounty,programPhone,programRegistrationPhone,latitude,longitude
Charles City (Floyd ) Head Start/Early Head Start,,404 N Jackson St,,Charles City,IA,50616,2035,Floyd County,,(1) 641-228,,07CH011292,0,NORTH IOWA COMMUNITY ACTION ORGANIZATION,218 5th St SW,,Mason City,IA,50401,3840,Cerro Gordo County,(1) 641-228,(641)494-1891 - 230,43.0696,-92.6777
Forest City (Winnebago)  Head Start,,1405 W I St,,Forest City,IA,50436,1728,Winnebago County,,(641) 585-2670,,07CH011292,0,NORTH IOWA COMMUNITY ACTION ORGANIZATION,218 5th St SW,,Mason City,IA,50401,3840,Cerro Gordo County,(641) 585-2670,(641)494-1891 - 230,43.263,-93.653
Parkersburg (Butler)  Head Start,,602 Lincoln St,,Parkersburg,IA,50665,2067,Butler County,,(319) 346-2446,,07CH011292,0,NORTH IOWA COMMUNITY ACTION ORGANIZATION,218 5th St SW,,Mason City,IA,50401,3840,Cerro Gordo County,(319) 346-2446,(641)494-1891 - 230,42.5744,-92.7835
Hoover (Cerro Gordo) Head Start,,1123 8th St NW,,Mason City,IA,50401,2612,Cerro Gordo County,,(641) 421-4408,,07CH011292,0,NORTH IOWA COMMUNITY ACTION ORGANIZATION,218 5th St SW,,Mason City,IA,50401,3840,Cerro Gordo County,(641) 421-4408,(641)494-1891 - 230,43.1585,-93.2191
Aloha Learning Center (PACE),,13000 Van Ness Ave,,Gardena,CA,90249,1726,Los Angeles County,,(424) 340-2640,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(424) 340-2640,(213)989-3244,33.9145,-118.3175
Oceanside (PACE),,682 Broadway St,,Venice,CA,90291,3404,Los Angeles County,,(424) 280-4090,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(424) 280-4090,(213)989-3244,33.9958,-118.4656
Fisher Head Start,,535 Fisher Ave,Ste C,Phillipsburg,NJ,8865,2622,Warren County,,(908) 454-5936,,02CH011177,0,"Northwest New Jersey Community Action Program, Inc",480 Memorial Pkwy,Unit 303,Phillipsburg,NJ,8865,1575,Warren County,(908) 454-5936,(908)454-8830,40.6952,-75.1765
Bogen (St. Anne's),,151 N Occidental Blvd,,Los Angeles,CA,90026,4694,Los Angeles County,,(213) 381-2931,,09CH011157,15,St. Anne's Family Services,155 N. Occidental Blvd.,,Los Angeles,CA,90026,-1,Los Angeles County,(213) 381-2931,(213)381-2931 - 214,34.072,-118.2792
McMillan Head Start,,408 McMillan St,,Marion,SC,29571,4557,Marion County,,(843) 423-9550,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 423-9550,(843)678-3414 - 2130,34.1729,-79.384
FDTC Head Start Child Development Center,,2715 W Lucas St,,Florence,SC,29501,1242,Florence County,,(843) 676-8525,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 676-8525,(843)678-3414 - 2130,34.2446,-79.8159
Pamplico Head Start & Early Head Start,,103 Hickory St,,Pamplico,SC,29583,3727,Florence County,,(843) 493-0359,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 493-0359,(843)678-3414 - 2130,33.9963,-79.5726
Woods Road Head Start,,1400 Woods Rd,,Florence,SC,29501,4540,Florence County,,(843) 678-3423,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 678-3423,(843)678-3414 - 2130,34.1861,-79.7924
Springville Head Start,,2513 Springville Rd,,Marion,SC,29571,7606,Marion County,,(843) 423-7593,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 423-7593,(843)678-3414 - 2130,34.1774,-79.469
Hamer-Canaan Head Start,,428 Elkins Road,,Hamer,SC,29547,-1,Dillon County,,(843) 774-7650,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 774-7650,(843)678-3414 - 2130,34.4811,-79.3167
Thelma Brown,,304 N Alexander St,,Florence,SC,29501,2106,Florence County,,(843) 678-3417,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 678-3417,(843)678-3414 - 2130,34.2004,-79.7837
Olanta Head Start,,312 N Jones Rd,Hwy 301,Olanta,SC,29114,9629,Florence County,,(843) 396-9713,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 396-9713,(843)678-3414 - 2130,33.9384,-79.9317
Whittaker Head Start,,2326 Worship Street,,Little Rock,SC,29567,-1,Dillon County,,(843) 841-3116,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 841-3116,(843)678-3414 - 2130,34.472,-79.4012
Lake City Head Start,,209 Graham Rd,,Lake City,SC,29560,3903,Florence County,,(843) 394-5466,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 394-5466,(843)678-3414 - 2130,33.859,-79.757
Johnsonville Head Start,,158 E Marion St,,Johnsonville,SC,29555,6517,Florence County,,(843) 380-8408,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 380-8408,(843)678-3414 - 2130,33.8171,-79.4469
Palmetto Education Center Head Start,,200 Broad St,,Mullins,SC,29574,2532,Marion County,,(843) 464-6100,,04CH011291,0,PEE DEE COMMUNITY ACTION PARTNERSHIP,2685 S Irby St,Fl 1,Florence,SC,29505,3440,Florence County,(843) 464-6100,(843)678-3414 - 2130,34.2049,-79.2637
Louis Nine,,1336 Louis Nine Blvd,,Bronx,NY,10459,1535,Bronx County,,(718) 991-2119,,02CH010954,0,NYC Early Learning Company Inc.,440 Avenue P, ,Brooklyn,NY,11223,1935,Kings County,(718) 991-2119,,40.8319,-73.8921
West Harlem Head Start,,121 W 128th St,,New York,NY,10027,3010,New York County,,(212) 665-7586,,02CH010953,0,"West Harlem Community Organization, Inc.",121 W 128th St, ,New York,NY,10027,3010,New York County,(212) 665-7586,(212)665-7586 - 1010,40.8104,-73.945
Intervale,,960 Intervale Ave,Aka 950 Westchester Ave,Bronx,NY,10459,3119,Bronx County,,(718) 991-5465,,02CH010954,0,NYC Early Learning Company Inc.,440 Avenue P, ,Brooklyn,NY,11223,1935,Kings County,(718) 991-5465,,40.8219,-73.8965
White Plains 1,,2901 White Plains Rd,Apt 2,Bronx,NY,10467,8130,Bronx County,,(718) 653-3714,,02CH010954,0,NYC Early Learning Company Inc.,440 Avenue P, ,Brooklyn,NY,11223,1935,Kings County,(718) 653-3714,,40.8682,-73.8675
White Plains 2,,3942 White Plains Rd,,Bronx,NY,10466,3024,Bronx County,,(718) 589-6101,,02CH010954,0,NYC Early Learning Company Inc.,440 Avenue P, ,Brooklyn,NY,11223,1935,Kings County,(718) 589-6101,,40.8869,-73.8607
Fort George Center 1,,1525 Saint Nicholas Ave,,New York,NY,10033,2604,New York County,,(212) 927-2210,,02CH010951,0,"Fort George Community Serivices, Inc.",1525 Saint Nicholas Ave,,New York,NY,10033,2604,New York County,(212) 927-2210,(212)795-9184,40.8527,-73.9315
Fort George Center 2,,601 W 186th St,,New York,NY,10033,2602,New York County,,(212) 927-2210,,02CH010951,0,"Fort George Community Serivices, Inc.",1525 Saint Nicholas Ave,,New York,NY,10033,2604,New York County,(212) 927-2210,(212)795-9184,40.8525,-73.9316
Sharon Baptist Head Start - Campus IV,,1925 Bathgate Ave,,Bronx,NY,10457,4404,Bronx County,,(718) 466-1604,,02CH011113,0,"Sharon Baptist Board of Directors, Inc",1925 Bathgate Avenue,,Bronx,NY,10457,4404,Bronx County,(718) 466-1604,(718)466-1604,40.8474,-73.8971
Sharon Baptist Head Start - Campus I,,507 E 165th St,,Bronx,NY,10456,6637,Bronx County,,(718) 466-1604,,02CH011113,0,"Sharon Baptist Board of Directors, Inc",1925 Bathgate Avenue,,Bronx,NY,10457,4404,Bronx County,(718) 466-1604,(718)466-1604,40.8268,-73.9082
Kershaw County Head Start / Early Head Start Center,,1109 Campbell St,,Camden,SC,29020,3507,Kershaw County,,(803) 432-2823,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 432-2823,(803)773-1291,34.2464,-80.6117
Fleming/Felder Head Start / Early Head Start Center,,1423 Hotel Street,Post Office Box 122,Alcolu,SC,29001,-1,Clarendon County,,(803) 473-2767,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 473-2767,(803)773-1291,33.7546,-80.2119
Stateburg Head Start Center,,200 N Kings Hwy,,Sumter,SC,29154,9501,Sumter County,,(803) 494-2437,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 494-2437,(803)773-1291,33.9495,-80.5298
Rubye J. Johnson Head Start Center,,1155 N Lafayette Dr,,Sumter,SC,29150,2913,Sumter County,,(803) 773-1291,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 773-1291,(803)773-1291,33.9398,-80.338
Goodwill Head Start Center,,225 N Brick Church Rd,,Mayesville,SC,29104,9773,Sumter County,,(803) 495-8466,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 495-8466,(803)773-1291,33.913,-80.1489
Bishopville Head Start / Early Head Start Center,,"603 Main Street, Highway 15 North",,Bishopville,SC,29010,-1,Lee County,,(803) 484-5403,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 484-5403,(803)773-1291,34.2182,-80.2484
Paxville Head Start Center,,9137 Paxville Hwy,,Paxville,SC,29102,7213,Clarendon County,,(803) 473-4575,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 473-4575,(803)773-1291,33.7366,-80.3523
Morris College Head Start Center,,100 W College St,Morris College Campus,Sumter,SC,29150,3502,Sumter County,,(803) 773-9811,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 773-9811,(803)773-1291,33.938,-80.347
South Sumter Head Start Center,,337A Manning Ave,,Sumter,SC,29150,5742,Sumter County,,(803) 774-3478,,04CH011297,0,"WATEREE COMMUNITY ACTIONS, INC. HEAD START PROGRAM",1155 N Lafayette Dr, ,Sumter,SC,29150,2913,Sumter County,(803) 774-3478,(803)773-1291,33.9094,-80.3407
Thibodaux,,2555 Veterans Blvd,,Thibodaux,LA,70301,4363,Lafourche Parish,,(985) 447-3665,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 447-3665,(985)537-7603,29.7703,-90.8465
South Lafourche,,16241 E Main St,,Cut Off,LA,70345,3805,Lafourche Parish,,(985) 632-1260,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 632-1260,(985)537-7603,29.4742,-90.3139
Marydale,,102 Park Ave,,Thibodaux,LA,70301,5120,Lafourche Parish,,(985) 448-1050,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 448-1050,(985)537-7603,29.7648,-90.8302
Martin Luther King,,1445 Martin Luther King Dr,,Thibodaux,LA,70301,4835,Lafourche Parish,,(985) 449-0888,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 449-0888,(985)537-7603,29.7807,-90.8128
MGC (Lockport),,203 E Fontinelle St,,Lockport,LA,70374,2637,Lafourche Parish,,(985) 532-6250,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 532-6250,(985)537-7603,29.649,-90.5326
Bayou Blue,,197 Mazerac St,,Houma,LA,70364,3819,Terrebonne Parish,,(985) 857-8370,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 857-8370,(985)537-7603,29.6428,-90.6802
Raceland Head Start,,3603 Highway 308,,Raceland,LA,70394,3338,Lafourche Parish,,(985) 537-3197,,06CH011302,0,LAFOURCHE PARISH,4876 Highway 1,,Mathews,LA,70375,2043,Lafourche Parish,(985) 537-3197,(985)537-7603,29.7357,-90.6214
RUBY BRIDGES ELEMENTARY SCHOOL (HS/T-K),,351 Jack London Ave,,Alameda,CA,94501,3901,Alameda County,,(510) 629-7138,,09CH011133,0,Alameda Family Services,2325 Clement Ave,Ste A,Alameda,CA,94501,7061,Alameda County,(510) 629-7138,(510)629-6350,37.7823,-122.2853
Collaborations- DiBiase Preschool,,2040 E Oak Rd,,Vineland,NJ,8361,2506,Cumberland County,,,,02CH010799,0,"Tri-County Community Action Agency, Inc.",110 Cohansey Street,,Bridgeton,NJ,8302,1922,Cumberland County,,(856)453-0803 - 6676,39.4993,-74.9866
Felman Early Childhood Center,,200 S Desplaines St,,Joliet,IL,60436,2210,Will County,,(815) 727-5730,,05CH011316,0,"Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor",,Joliet,IL,60432,4006,Will County,(815) 727-5730,(815)723-3053,41.5201,-88.0856
Good Shepherd Center,,151 E Briarcliff Rd,,Bolingbrook,IL,60440,3070,Will County,,(630) 783-2735,,05CH011316,0,"Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor",,Joliet,IL,60432,4006,Will County,(630) 783-2735,(815)723-3053,41.6976,-88.0651
Broadway Center,,110 Willow Ave,,Joliet,IL,60436,1558,Will County,,(815) 722-5253,,05CH011316,0,"Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor",,Joliet,IL,60432,4006,Will County,(815) 722-5253,(815)723-3053,41.5211,-88.0998
Alexandria Drive Early Childhood Center,,1704 Alexandria Dr,,Joliet,IL,60436,1068,Will County,,(815) 730-8940,,05CH011316,0,"Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor",,Joliet,IL,60432,4006,Will County,(815) 730-8940,(815)723-3053,41.4893,-88.1457
Rockdale Head Start,,1215 Houbolt Rd,Bldg A-1510,Joliet,IL,60431,8938,Will County,,(815) 280-2280,,05CH011316,0,"Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor",,Joliet,IL,60432,4006,Will County,(815) 280-2280,(815)723-3053,41.5005,-88.1808
Region IX Head Start Ruidoso - SVP,,199 W. White Mountain Dr,,Ruidoso,NM,88345,5502,Lincoln County,,(575) 257-5025,,06CH011308,0,Region IX Education Cooperative,2002 Sudderth Dr, ,Ruidoso,NM,88345,6119,Lincoln County,(575) 257-5025,(575)615-1802,33.3581,-105.6583
Region IX Capitan Head Start,,150 S Forest Avenue,,Capitan,NM,88316,-1,Lincoln County,,(575) 257-5025,,06CH011308,0,Region IX Education Cooperative,2002 Sudderth Dr, ,Ruidoso,NM,88345,6119,Lincoln County,(575) 257-5025,(575)615-1802,33.5443,-105.5821
PCI Meadowood Early Learning Center,,12625 Cinco De Mayo,,San Antonio,TX,78252,1975,Bexar County,,(210) 226-6232,,06CH010690,0,Parent Child Incorporated,7815 Mainland Dr,,San Antonio,TX,78250,5150,Bexar County,(210) 226-6232,(210)475-5006,29.3649,-98.7446
SCAP Head Start - Bellevue Center,,2000 Broadway,Scap Head Start,Schenectady,NY,12306,4124,Schenectady County,,(518) 377-7300,,02CH011311,0,"Schenectady Community Action Program, Inc.",Schenectady Community Action Program,913 Albany Street,Schenectady,NY,12307,-1,Schenectady County,(518) 377-7300,(518)377-8539,42.7981,-73.9643
SCAP Head Start - Northside Village,,2450 Van Vranken Ave,Bldg 11,Schenectady,NY,12308,1023,Schenectady County,,(518) 381-4196,,02CH011311,0,"Schenectady Community Action Program, Inc.",Schenectady Community Action Program,913 Albany Street,Schenectady,NY,12307,-1,Schenectady County,(518) 381-4196,(518)377-8539,42.8321,-73.916
Olean Center,,210 E Elm St,,Olean,NY,14760,1325,Cattaraugus County,,(716) 372-5959,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 372-5959,(716)373-2447,42.0939,-78.4335
Olean Head Start Center at Washington West Elementary School,,1626 Washington St,,Olean,NY,14760,1935,Cattaraugus County,,(716) 375-8960,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 375-8960,(716)373-2447,42.0811,-78.4493
Salamanca Center,,79 River St,,Salamanca,NY,14779,1414,Cattaraugus County,,(716) 945-5281,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 945-5281,(716)373-2447,42.1598,-78.7186
Franklinville Head Start Center at Franklinville Elementary School,,32 N Main St,,Franklinville,NY,14737,1037,Cattaraugus County,,(716) 676-8000,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 676-8000,(716)373-2447,42.3343,-78.4585
Perry Center,,7080 Standpipe Rd,,Perry,NY,14530,9616,Wyoming County,,(585) 786-2770,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(585) 786-2770,(716)373-2447,42.7096,-78.0133
Delevan Center,,11713 Route 16,PO515,Delevan,NY,14042,9782,Cattaraugus County,,(716) 492-4720,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 492-4720,(716)373-2447,42.5058,-78.4804
Olean Head Start Center at East View Elementary School,,690 E Spring St,,Olean,NY,14760,2907,Cattaraugus County,,(716) 375-8920,,02CH011309,0,Cattaraugus & Wyoming Counties Project Head Start,101 South 19th Street,,Olean,NY,14760,3325,Cattaraugus County,(716) 375-8920,(716)373-2447,42.082,-78.4165
Palmyra Head Start,,120 E Main St,,Palmyra,NY,14522,1018,Wayne County,,(315) 597-0279,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 597-0279,(315)333-4155 - 3201,43.0632,-77.2331
Clyde Head Start,,214 E Dezeng St,,Clyde,NY,14433,9513,Wayne County,,(315) 923-4782,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 923-4782,(315)333-4155 - 3201,43.0848,-76.8569
Lyons Head Start,,6 Clyde Rd,,Lyons,NY,14489,9391,Wayne County,,(315) 946-5388,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 946-5388,(315)333-4155 - 3201,43.0645,-76.9859
Newark Head Start,,301 Stuart Ave,,Newark,NY,14513,9725,Wayne County,,(315) 331-8172,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 331-8172,(315)333-4155 - 3201,43.052,-77.1024
Huron Head Start,,11359 Ridge Rd,,Wolcott,NY,14590,9234,Wayne County,,(315) 594-6122,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 594-6122,(315)333-4155 - 3201,43.226,-76.8459
Sodus HS/UPK,,6264 State Route 88,,Sodus,NY,14551,9772,Wayne County,,(315) 483-5282,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 483-5282,(315)333-4155 - 3201,43.2271,-77.0657
Sodus Center,,7192 Ridge Rd,,Sodus,NY,14551,9370,Wayne County,,(315) 483-6789,,02CH011306,0,"WAYNE COUNTY ACTION PROGRAM, INC",28 Canal St, ,Lyons,NY,14489,1249,Wayne County,(315) 483-6789,(315)333-4155 - 3201,43.2297,-77.0406
Greenbush Head Start Center,,16003 St Rt 68,,Mount Orab,OH,45154,-1,Brown County,,(937) 444-4933,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 444-4933,(937)378-6041 - 250,39.0774,-83.9267
Hamersville Head Start Center,,1950 State Route 125,Hamersville Elementary School,Hamersville,OH,45130,9501,Brown County,,(937) 379-1144,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 379-1144,(937)378-6041 - 250,38.9218,-83.9924
Georgetown Head Start Center,,406 W Plum St,,Georgetown,OH,45121,-1,Brown County,,(937) 378-4555,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 378-4555,(937)378-6041 - 250,38.8688,-83.9086
Mt. Orab Head Start Center,,474 W Main St,Mt. Orab Elementary School,Mount Orab,OH,45154,9452,Brown County,,(937) 444-1406,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 444-1406,(937)378-6041 - 250,39.0347,-83.9339
Peebles Head Start Center,,16 Virginia St,,Peebles,OH,45660,1181,Adams County,,(937) 587-3300,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 587-3300,(937)378-6041 - 250,38.9424,-83.412
Ripley Head Start Center,,502 S 2nd St,Ripley Elementary School,Ripley,OH,45167,1306,Brown County,,(937) 392-1141,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 392-1141,(937)378-6041 - 250,38.7395,-83.8415
Tiffin Early Childhood Center,,11827 State Route 125,,West Union,OH,45693,9305,Adams County,,(937) 544-5082,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 544-5082,(937)378-6041 - 250,38.7971,-83.4907
Manchester Head Start Center,,130 Wayne Frye Dr,,Manchester,OH,45144,9314,Adams County,,(937) 549-4777,,05CH011329,0,"Adams-Brown Counties Economic Opportunities, Inc.",406 W Plum St, ,Georgetown,OH,45121,1056,Brown County,(937) 549-4777,(937)378-6041 - 250,38.6933,-83.5882
Weldon Day Care Center,,1505 Washington Ave,,Weldon,NC,27890,2025,Halifax County,,(252) 536-2409,,04CH010653,0,"CHOANOKE AREA DEVELOPMENT ASSOCIATION, INC",120 Sessoms Dr,,Rich Square,NC,27869,9603,Northampton County,(252) 536-2409,(252)539-4155 - 426,36.4085,-77.6034
Pikeville Head Start,,2531 Main St,,Pikeville,TN,37367,5512,Bledsoe County,,(423) 447-2459,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 447-2459,(423)939-1005,35.5974,-85.1916
Hemlock Head Start,,907 Hemlock Ln,,South Pittsburg,TN,37380,1571,Marion County,,(423) 837-1101,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 837-1101,(423)939-1005,35.0016,-85.7067
Whitwell Head Start,,11057 Highway 28,,Whitwell,TN,37397,5375,Marion County,,(423) 658-7544,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 658-7544,(423)939-1005,35.165,-85.5374
Dayton Head Start,,1655 Blythe Ferry Rd,,Dayton,TN,37321,5640,Rhea County,,(423) 775-7723,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 775-7723,(423)939-1005,35.4691,-85.013
Altamont Head Start,,67 Community Center Rd,,Coalmont,TN,37313,7713,Grundy County,,(423) 403-7583,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 403-7583,(423)939-1005,35.3989,-85.7002
Dunlap Head Start,,173 Jones Dr,,Dunlap,TN,37327,3532,Sequatchie County,,(423) 949-5015,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 949-5015,(423)939-1005,35.3587,-85.4039
Tracy City Head Start,,13764 US Highway 41,,Tracy City,TN,37387,5028,Grundy County,,(931) 592-2311,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(931) 592-2311,(423)939-1005,35.2432,-85.6927
Jasper Head Start,,3706 Main St,,Jasper,TN,37347,418,Marion County,,(423) 942-9451,,04CH011345,0,SEQUATCHIE VALLEY EDUCATION DEVELOPMENT AGENCY,501 Westfield Pl,,Jasper,TN,37347,5144,Marion County,(423) 942-9451,(423)939-1005,35.0691,-85.6352
Hebron Head Start Center,,N2313 County Road D,N/A,Fort Atkinson,WI,53538,9624,Jefferson County,,(262) 593-5979,,05CH011340,0,Cooperative Educational Service Agency #2,1541 Annex Road,,Jefferson,WI,53549,9618,Jefferson County,(262) 593-5979,(920)674-5577,42.9239,-88.6932
Watertown Head Start Center,,415 S 8th St,N/A,Watertown,WI,53094,4730,Jefferson County,,(920) 261-8716,,05CH011340,0,Cooperative Educational Service Agency #2,1541 Annex Road,,Jefferson,WI,53549,9618,Jefferson County,(920) 261-8716,(920)674-5577,43.1905,-88.7174
Fort Atkinson Head Start Center,,719 S Main St,,Fort Atkinson,WI,53538,2297,Jefferson County,,(920) 568-9055,,05CH011340,0,Cooperative Educational Service Agency #2,1541 Annex Road,,Jefferson,WI,53549,9618,Jefferson County,(920) 568-9055,(920)674-5577,42.9188,-88.8358
Jefferson County Head Start - Main Office,,1541 Annex Rd,,Jefferson,WI,53549,9803,Jefferson County,,(262) 949-8617,,05CH011340,0,Cooperative Educational Service Agency #2,1541 Annex Road,,Jefferson,WI,53549,9618,Jefferson County,(262) 949-8617,(920)674-5577,42.9868,-88.8274
